VN101,VN_A320,HAN-SGN,2023-12-20 08:00,2023-12-20 10:00,1500000
VN102,VN_B787,HAN-SGN,2023-12-20 14:00,2023-12-20 16:00,1800000
VJ201,VJ_A321,HAN-DAD,2023-12-21 09:30,2023-12-21 10:45,800000
VJ202,VJ_A321,HAN-DAD,2023-12-21 16:00,2023-12-21 17:15,850000
QH301,QH_E190,SGN-PQC,2023-12-22 07:00,2023-12-22 08:00,1200000
QH302,QH_E190,SGN-PQC,2023-12-22 13:00,2023-12-22 14:00,1250000
VN401,VN_A320,DAD-SGN,2023-12-23 10:00,2023-12-23 11:30,1000000
VN402,VN_A350,DAD-HAN,2023-12-23 18:00,2023-12-23 19:15,1100000
VJ501,VJ_A321,PQC-HAN,2023-12-24 12:00,2023-12-24 14:00,2000000
VJ502,VN_B787,SGN-HAN,2023-12-24 20:00,2023-12-24 22:00,1800000
